epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3019.66,2.73376,2.25331,1.11005,0.6317,0.30837,0.31875,0.14795,2.5504,1.98312,1.07688,0.0006304,0.0006304,0.0006304
58,3071.44,2.70808,2.18894,1.08589,0.6904,0.31141,0.33366,0.15681,2.51833,1.96195,1.07471,0.0006238,0.0006238,0.0006238
59,3123.23,2.63761,2.16095,1.06428,0.70044,0.30913,0.3241,0.14936,2.53509,1.94923,1.08293,0.0006172,0.0006172,0.0006172
60,3174.8,2.5705,2.13346,1.08234,0.69629,0.30038,0.32807,0.15886,2.47694,1.98351,1.07239,0.0006106,0.0006106,0.0006106
61,3226.32,2.63952,2.21155,1.08895,0.68097,0.30342,0.3165,0.15015,2.48969,1.991,1.07918,0.000604,0.000604,0.000604
62,3279.03,2.65376,2.20941,1.07628,0.68127,0.32319,0.33842,0.16221,2.48779,1.91221,1.08391,0.0005974,0.0005974,0.0005974
63,3331.1,2.61878,2.15848,1.08713,0.71044,0.31635,0.33234,0.15855,2.51009,1.90667,1.074,0.0005908,0.0005908,0.0005908
64,3384.63,2.62419,2.18273,1.08819,0.68835,0.30494,0.32573,0.15375,2.52854,1.95779,1.0903,0.0005842,0.0005842,0.0005842
65,3435.6,2.7113,2.2261,1.07707,0.69572,0.31749,0.34039,0.16248,2.4546,1.92702,1.07157,0.0005776,0.0005776,0.0005776
66,3488.83,2.65306,2.18918,1.08272,0.72408,0.32129,0.34436,0.16981,2.4265,1.87911,1.05025,0.000571,0.000571,0.000571
67,3540.08,2.59783,2.08723,1.05614,0.68542,0.3327,0.3471,0.16937,2.44891,1.84314,1.05384,0.0005644,0.0005644,0.0005644
68,3592.09,2.57278,2.03543,1.06766,0.69993,0.33258,0.34807,0.17033,2.41001,1.85562,1.05184,0.0005578,0.0005578,0.0005578
69,3644.4,2.62812,2.15472,1.07322,0.68484,0.32388,0.34321,0.16938,2.42909,1.8955,1.05627,0.0005512,0.0005512,0.0005512
70,3696.51,2.58523,2.07998,1.07613,0.69185,0.31939,0.34524,0.16439,2.46011,1.89053,1.05406,0.0005446,0.0005446,0.0005446
71,3749.71,2.62145,2.11108,1.07849,0.72466,0.32966,0.35275,0.16962,2.4515,1.86337,1.04696,0.000538,0.000538,0.000538
72,3802.5,2.53622,2.09449,1.07005,0.72483,0.32851,0.34459,0.16405,2.44715,1.87431,1.06072,0.0005314,0.0005314,0.0005314
73,3854.76,2.60595,2.11981,1.06332,0.72098,0.32624,0.34906,0.17306,2.41501,1.8489,1.0531,0.0005248,0.0005248,0.0005248
74,3908.08,2.46892,2.02157,1.05788,0.72239,0.32852,0.35454,0.17626,2.38965,1.8262,1.03891,0.0005182,0.0005182,0.0005182
75,3961.44,2.55598,2.09253,1.07493,0.73125,0.3352,0.35754,0.1742,2.41015,1.79036,1.04251,0.0005116,0.0005116,0.0005116
76,4013.7,2.60293,2.15761,1.09093,0.69676,0.31521,0.3457,0.17069,2.40273,1.89457,1.04208,0.000505,0.000505,0.000505
77,4066.5,2.59213,2.09458,1.07325,0.68783,0.34015,0.36053,0.17387,2.41501,1.83627,1.03727,0.0004984,0.0004984,0.0004984
78,4118.87,2.62928,2.11982,1.08217,0.73669,0.33878,0.36026,0.17601,2.36792,1.80692,1.03341,0.0004918,0.0004918,0.0004918
79,4173.62,2.56131,2.08143,1.06032,0.71931,0.33308,0.36116,0.17644,2.34254,1.80835,1.02136,0.0004852,0.0004852,0.0004852
80,4228.77,2.55771,2.05429,1.04957,0.75916,0.33384,0.36572,0.17984,2.3214,1.75576,1.02403,0.0004786,0.0004786,0.0004786
81,4280.98,2.49973,1.9705,1.03859,0.73284,0.34829,0.36918,0.17444,2.35532,1.75656,1.02413,0.000472,0.000472,0.000472
82,4334.73,2.58817,2.08173,1.05935,0.73902,0.33688,0.36995,0.1813,2.30071,1.74405,1.01977,0.0004654,0.0004654,0.0004654
83,4386.54,2.60061,2.15152,1.07155,0.72921,0.33789,0.36599,0.18047,2.30921,1.74693,1.01406,0.0004588,0.0004588,0.0004588
84,4437.81,2.59462,2.09567,1.05356,0.70198,0.33954,0.36657,0.18359,2.30267,1.71785,1.03013,0.0004522,0.0004522,0.0004522
85,4489.44,2.47211,1.99861,1.04223,0.6932,0.33498,0.3591,0.1842,2.27598,1.79912,1.01291,0.0004456,0.0004456,0.0004456
86,4541.09,2.52434,1.99009,1.04777,0.73566,0.33967,0.37774,0.18746,2.2966,1.74152,1.01645,0.000439,0.000439,0.000439
87,4593.9,2.5127,2.001,1.04536,0.73481,0.33194,0.36883,0.18811,2.29208,1.71854,1.02261,0.0004324,0.0004324,0.0004324
88,4649.38,2.51782,2.00874,1.05185,0.7598,0.34106,0.3812,0.19181,2.24733,1.70468,1.00968,0.0004258,0.0004258,0.0004258
89,4701.59,2.49462,1.98309,1.03046,0.70331,0.34449,0.37661,0.1929,2.25304,1.70117,1.00993,0.0004192,0.0004192,0.0004192
90,4754.76,2.49981,1.97209,1.04596,0.74107,0.34715,0.38074,0.18649,2.25377,1.69452,1.00937,0.0004126,0.0004126,0.0004126
91,4806.82,2.53082,2.00779,1.04515,0.67133,0.36464,0.38446,0.19157,2.25181,1.70221,1.01412,0.000406,0.000406,0.000406
92,4859.51,2.46377,1.92533,1.04731,0.68404,0.34297,0.3765,0.1873,2.24541,1.70985,1.00357,0.0003994,0.0003994,0.0003994
93,4911.36,2.52917,2.02385,1.06221,0.72175,0.35665,0.38416,0.19243,2.26941,1.66919,1.00867,0.0003928,0.0003928,0.0003928
94,4962.59,2.43988,1.94304,1.04387,0.69939,0.36005,0.37774,0.18933,2.20059,1.69376,0.99801,0.0003862,0.0003862,0.0003862
95,5015.19,2.41165,1.89823,1.04607,0.74173,0.35627,0.39212,0.19543,2.21807,1.662,0.99642,0.0003796,0.0003796,0.0003796
96,5065.92,2.48797,1.96022,1.02709,0.71718,0.36157,0.39392,0.202,2.20193,1.63994,1.00235,0.000373,0.000373,0.000373
97,5118.91,2.40734,1.8924,1.02939,0.72767,0.35856,0.39309,0.19883,2.19589,1.67943,0.99637,0.0003664,0.0003664,0.0003664
98,5170.53,2.44867,1.91853,1.02978,0.71364,0.36766,0.39405,0.20099,2.17938,1.60732,0.98947,0.0003598,0.0003598,0.0003598
99,5224.93,2.40216,1.90407,1.02442,0.74993,0.35399,0.3957,0.2023,2.1675,1.62909,0.99,0.0003532,0.0003532,0.0003532
100,5276.97,2.44086,1.87125,1.02063,0.71961,0.36616,0.39817,0.19816,2.21773,1.67816,1.0032,0.0003466,0.0003466,0.0003466
101,5332.04,2.40346,1.85603,1.02298,0.71207,0.37529,0.41002,0.20702,2.16407,1.5592,0.98965,0.00034,0.00034,0.00034
102,5386.11,2.41824,1.91038,1.03378,0.71174,0.37072,0.40752,0.20737,2.15915,1.57935,0.97847,0.0003334,0.0003334,0.0003334
103,5438.71,2.4327,1.90147,1.03061,0.75152,0.36388,0.39982,0.19944,2.1573,1.62268,0.97939,0.0003268,0.0003268,0.0003268
104,5491.42,2.43808,1.87674,1.01141,0.74999,0.36806,0.40655,0.20853,2.14584,1.55954,0.97595,0.0003202,0.0003202,0.0003202
105,5544.47,2.3401,1.80713,1.02409,0.72636,0.3711,0.40466,0.20249,2.14983,1.57544,0.98256,0.0003136,0.0003136,0.0003136
106,5596.01,2.40952,1.91095,1.02817,0.73744,0.37484,0.41107,0.21079,2.1393,1.5629,0.97917,0.000307,0.000307,0.000307
107,5649.39,2.34363,1.79731,1.01221,0.73988,0.37452,0.41239,0.21013,2.12564,1.56318,0.97435,0.0003004,0.0003004,0.0003004
108,5700.7,2.35588,1.81751,1.00844,0.7464,0.36818,0.40911,0.2089,2.14692,1.56917,0.97766,0.0002938,0.0002938,0.0002938
109,5753.79,2.43439,1.86778,1.01544,0.7704,0.38019,0.42116,0.21081,2.14312,1.54274,0.9774,0.0002872,0.0002872,0.0002872
110,5805.56,2.33835,1.80967,1.01525,0.71912,0.37338,0.4109,0.20875,2.11142,1.54202,0.97756,0.0002806,0.0002806,0.0002806
111,5858.82,2.40637,1.84229,1.01869,0.7513,0.38441,0.4239,0.21731,2.09682,1.51449,0.96803,0.000274,0.000274,0.000274
112,5911.63,2.3347,1.81366,1.0178,0.74334,0.38982,0.42933,0.216,2.12076,1.51725,0.97109,0.0002674,0.0002674,0.0002674
113,5966.62,2.30337,1.75645,0.99464,0.76072,0.38682,0.43036,0.21807,2.11916,1.51052,0.97354,0.0002608,0.0002608,0.0002608
114,6019.45,2.38438,1.85859,1.0265,0.76048,0.37414,0.42715,0.22008,2.08958,1.52211,0.96757,0.0002542,0.0002542,0.0002542
115,6073.79,2.36022,1.81788,1.01412,0.74851,0.38441,0.42905,0.21319,2.13575,1.53402,0.97192,0.0002476,0.0002476,0.0002476
116,6125.03,2.31313,1.76706,1.00954,0.74091,0.39011,0.42727,0.22185,2.09258,1.49846,0.96559,0.000241,0.000241,0.000241
117,6179.49,2.32739,1.76456,1.01092,0.72061,0.38737,0.42569,0.21892,2.07072,1.49437,0.955,0.0002344,0.0002344,0.0002344
118,6231.38,2.31417,1.75013,0.99986,0.73984,0.39734,0.43487,0.22601,2.07437,1.48117,0.96737,0.0002278,0.0002278,0.0002278
119,6284.87,2.25959,1.71229,0.99898,0.74828,0.3962,0.43701,0.22508,2.0781,1.48206,0.96306,0.0002212,0.0002212,0.0002212
120,6336.53,2.34757,1.78048,0.99674,0.74078,0.39696,0.44194,0.23024,2.05188,1.46005,0.95808,0.0002146,0.0002146,0.0002146
121,6389.95,2.32439,1.78879,1.01316,0.75821,0.39506,0.43957,0.22668,2.04289,1.44883,0.95415,0.000208,0.000208,0.000208
122,6441.9,2.31214,1.75555,0.99604,0.74975,0.39392,0.43923,0.22539,2.06338,1.45369,0.95636,0.0002014,0.0002014,0.0002014
123,6495.94,2.25251,1.71685,0.99451,0.74915,0.39125,0.4368,0.22644,2.06072,1.44778,0.95645,0.0001948,0.0001948,0.0001948
124,6547.51,2.32278,1.78071,0.99783,0.75223,0.39848,0.44498,0.226,2.0586,1.44621,0.95846,0.0001882,0.0001882,0.0001882
125,6601.71,2.27631,1.71443,0.99399,0.75682,0.39392,0.44006,0.22801,2.01971,1.42847,0.94684,0.0001816,0.0001816,0.0001816
126,6653.8,2.30961,1.75024,0.9925,0.76097,0.39924,0.44723,0.2323,2.02323,1.4109,0.94978,0.000175,0.000175,0.000175
127,6707.99,2.31109,1.72033,0.98958,0.74609,0.4038,0.45246,0.23459,2.00333,1.40015,0.94379,0.0001684,0.0001684,0.0001684
128,6760.21,2.3956,1.82352,1.01545,0.72848,0.40342,0.44664,0.23051,2.00649,1.41184,0.94288,0.0001618,0.0001618,0.0001618
129,6814.59,2.2594,1.69562,0.99449,0.73611,0.39848,0.44387,0.23269,1.99828,1.40439,0.94399,0.0001552,0.0001552,0.0001552
130,6866.95,2.25151,1.69768,0.99347,0.7719,0.40017,0.45386,0.2363,1.99875,1.39197,0.94374,0.0001486,0.0001486,0.0001486
131,6920.34,2.24873,1.67853,0.98576,0.72471,0.41103,0.45418,0.23637,1.99835,1.39365,0.93898,0.000142,0.000142,0.000142
132,6971.91,2.25875,1.71628,0.99927,0.73105,0.41445,0.45652,0.23938,1.97843,1.38978,0.939,0.0001354,0.0001354,0.0001354
133,7025.12,2.23314,1.65837,0.98074,0.74276,0.41407,0.4582,0.2386,1.97903,1.38621,0.94086,0.0001288,0.0001288,0.0001288
134,7076.23,2.2728,1.70533,0.97917,0.72427,0.41217,0.45323,0.23757,1.98273,1.3897,0.93929,0.0001222,0.0001222,0.0001222
135,7131.43,2.26732,1.70761,1.00985,0.72074,0.41787,0.45468,0.2355,1.98751,1.38108,0.93778,0.0001156,0.0001156,0.0001156
136,7184.21,2.2573,1.69799,0.98896,0.75058,0.42107,0.46719,0.24651,1.956,1.35792,0.93325,0.000109,0.000109,0.000109
137,7239.34,2.19484,1.62031,0.98119,0.74671,0.41922,0.46918,0.24429,1.95544,1.35138,0.93062,0.0001024,0.0001024,0.0001024
138,7294.61,2.30434,1.71014,0.98688,0.74798,0.42243,0.46845,0.24488,1.94106,1.35009,0.92787,9.58e-05,9.58e-05,9.58e-05
139,7347.6,2.23906,1.67095,0.98493,0.78062,0.41597,0.46899,0.2474,1.93624,1.35833,0.92775,8.92e-05,8.92e-05,8.92e-05
140,7401,2.17923,1.59752,0.98083,0.75537,0.42319,0.47131,0.24832,1.94144,1.34659,0.92916,8.26e-05,8.26e-05,8.26e-05
141,7454,2.13179,1.6179,0.97653,0.72013,0.40951,0.45004,0.23191,1.98633,1.4063,0.93858,7.6e-05,7.6e-05,7.6e-05
142,7502.87,2.09426,1.53412,0.96141,0.74283,0.40722,0.44862,0.23068,2.01027,1.40782,0.9397,6.94e-05,6.94e-05,6.94e-05
143,7553.25,2.07085,1.5174,0.95088,0.72888,0.41369,0.45736,0.23609,1.98184,1.37932,0.93507,6.28e-05,6.28e-05,6.28e-05
144,7602.34,2.06896,1.50933,0.9752,0.73172,0.41483,0.45674,0.23611,1.98298,1.37393,0.93463,5.62e-05,5.62e-05,5.62e-05
145,7651.11,2.06787,1.49872,0.96677,0.7423,0.41597,0.4611,0.2384,1.96628,1.35962,0.93251,4.96e-05,4.96e-05,4.96e-05
146,7699.72,2.03416,1.48599,0.95426,0.72699,0.42091,0.46434,0.23877,1.97068,1.3592,0.93173,4.3e-05,4.3e-05,4.3e-05
147,7750.87,2.02864,1.45549,0.96493,0.7507,0.41905,0.46578,0.24029,1.95916,1.35371,0.93209,3.64e-05,3.64e-05,3.64e-05
148,7798.99,2.0666,1.4684,0.96281,0.74442,0.42091,0.46577,0.24094,1.96147,1.35171,0.93141,2.98e-05,2.98e-05,2.98e-05
149,7847.67,2.08109,1.47051,0.95561,0.74448,0.42281,0.4669,0.24133,1.96774,1.35035,0.93138,2.32e-05,2.32e-05,2.32e-05
150,7896.31,2.01719,1.45338,0.96341,0.74201,0.42662,0.46774,0.24224,1.96111,1.34597,0.93063,1.66e-05,1.66e-05,1.66e-05
